Fornavne til kvinder pr. 1. januar 2014

Navn	ANTAL

ANNE	47007
KIRSTEN	43997
HANNE	39984
METTE	39115
ANNA	35319
HELLE	34458
SUSANNE	31709
LENE	31399
MARIA	28471
MARIANNE	27493
INGE	26774
KAREN	26651
LONE	25819
BENTE	25125
CAMILLA	24741
PIA	24477
JETTE	23939
LOUISE	23852
CHARLOTTE	23841
TINA	23355
GITTE	23348
INGER	22878
ELSE	21313
JULIE	21179
BIRGIT	21062
RIKKE	21059
BIRTHE	20465
CHRISTINA	18705
JYTTE	18670
IDA	18655
ULLA	18530
PERNILLE	18283
MARIE	18234
SOFIE	17578
TOVE	17432
EMMA	17363
ANNETTE	17127
LINE	17112
LIS	16665
HEIDI	16425
ANETTE	15639
KARIN	15555
LAURA	15488
EVA	15459
CECILIE	15224
BIRGITTE	15102
GRETHE	14880
DORTHE	14787
LISBETH	14187
SIGNE	13582
ELLEN	13507
TRINE	13148
BODIL	12989
DORTE	12496
MAJA	12415
KATRINE	12234
NANNA	12106
VIBEKE	11888
RUTH	11780
LISE	11657
KARINA	11606
STINE	11565
MATHILDE	11563
EMILIE	11426
SARA	11391
JANE	11213
CAROLINE	11121
MALENE	11100
ANJA	10532
SARAH	10481
AASE	10268
LINDA	10190
INGRID	9706
MIA	9612
ANNI	9520
NINA	9217
AMALIE	9137
GERDA	8758
FREJA	8751
MONA	8698
SONJA	8507
HENRIETTE	8261
LOTTE	8020
JEANETTE	7964
LÆRKE	7877
ANITA	7825
TINE	7783
INGA	7763
ALICE	7739
MARGIT	7639
ASTRID	7399
JONNA	7365
MICHELLE	7290
DITTE	7215
JOHANNE	7119
ISABELLA	7043
RITA	7029
JOSEFINE	6920
LAILA	6755
ELISABETH	6693
BRITTA	6639
MIE	6617
ANN	6588
CONNIE	6579
BETTINA	6542
EDITH	6539
SIMONE	6489
000	6393
HELENE	6379
BIRTE	6288
CLARA	6277
JOAN	6275
KRISTINA	6078
TANJA	5942
MERETE	5922
LENA	5820
KATHRINE	5738
SANNE	5669
VICTORIA	5505
LEA	5482
FREDERIKKE	5478
LISA	5449
IRENE	5430
ALBERTE	5310
BETINA	5238
BERIT	5168
FRIDA	5135
MILLE	5098
CHRISTINE	5092
ESTHER	5041
ANNELISE	5037
JANNE	4885
SANDRA	4871
JANNIE	4863
ELLA	4805
KRISTINE	4769
ANNIE	4743
KAROLINE	4717
SUSAN	4555
GRETE	4514
VIVI	4510
CARINA	4474
RANDI	4416
ASTA	4409
LILLIAN	4408
AMANDA	4367
ELIN	4191
IBEN	4130
JOSEPHINE	4096
KATJA	4061
SOLVEIG	4053
OLIVIA	4045
JANNI	4032
ERNA	4001
THEA	3952
ANDREA	3909
CONNY	3829
KIRSTINE	3783
LISELOTTE	3771
GURLI	3763
DIANA	3761
NADIA	3760
ELLY	3747
HENNY	3745
GUDRUN	3742
SOFIA	3722
NICOLINE	3615
INGELISE	3600
ALMA	3506
ANE	3464
ELSEBETH	3456
LIVA	3432
ROSA	3416
KAMILLA	3377
AGNES	3376
LILLY	3365
WINNIE	3358
VERA	3349
MARLENE	3323
ANNE-MARIE	3312
HELENA	3276
REBECCA	3231
LILIAN	3187
YVONNE	3128
MAIKEN	3118
ANNE-METTE	3092
LIV	3087
HELGA	3055
BRITT	3039
ANNIKA	2950
CATHRINE	2908
