Fornavne til mænd pr. 1. januar 2014

Navn	ANTAL

PETER	49811
JENS	49211
LARS	45708
MICHAEL	45432
HENRIK	42934
THOMAS	42149
SØREN	41928
JAN	39133
NIELS	38647
CHRISTIAN	37509
MARTIN	37195
JØRGEN	36446
HANS	36233
ANDERS	34726
MORTEN	34308
JESPER	34183
OLE	33224
PER	32902
ERIK	31471
MADS	30859
RASMUS	30231
KIM	29722
JOHN	28112
MIKKEL	27308
POUL	26641
BENT	23929
CLAUS	22127
JONAS	22109
FREDERIK	22074
FLEMMING	21583
MATHIAS	21360
TORBEN	21290
SIMON	20046
JACOB	19871
ANDREAS	19572
EMIL	19511
KASPER	19420
DANIEL	19117
CARSTEN	18960
BRIAN	18555
HENNING	18533
SVEND	18430
ALLAN	17590
FINN	17461
BJARNE	17398
KNUD	16568
KRISTIAN	16421
LASSE	16375
LEIF	16330
JAKOB	16019
KURT	15435
STEEN	14935
MOGENS	14798
OLIVER	14673
MAGNUS	14654
KENNETH	14155
TOBIAS	14072
SEBASTIAN	13775
ARNE	13378
PREBEN	12461
ALEXANDER	12292
CASPER	11542
DENNIS	11502
BO	11409
FRANK	11319
KAJ	10562
JEPPE	10473
BENJAMIN	10001
JØRN	9925
NICOLAI	9558
TOMMY	9497
NIKOLAJ	9462
KARSTEN	9435
KLAUS	9407
RENÉ	9361
WILLIAM	9204
CARL	9020
JOHNNY	9008
VICTOR	8445
KARL	8437
PATRICK	8195
BENNY	7926
MARCUS	7883
LUCAS	7874
DAVID	7631
IB	7558
PALLE	7545
GUSTAV	7329
GERT	7128
KJELD	7109
NICKLAS	7055
JOHANNES	7041
NOAH	6958
STEFFEN	6894
OVE	6803
ANTON	6790
000	6766
DAN	6637
TOM	6627
ERLING	6595
BØRGE	6368
JOHAN	6185
RUNE	6105
MARK	6027
CHRISTOFFER	5948
RENE	5547
PEDER	5464
BJØRN	5437
MIKAEL	5369
PHILIP	5279
STEFAN	5277
VAGN	5216
EGON	5149
ASGER	5141
KELD	5136
JONATHAN	5116
STIG	5071
ALEX	5049
MALTHE	5015
LUKAS	4987
GUNNAR	4817
ROBERT	4685
ADAM	4395
AKSEL	4370
TROELS	4356
OSCAR	4348
IVAN	4290
ELIAS	4245
ULRIK	4222
AAGE	4203
MIKE	4185
TAGE	4173
KRISTOFFER	4115
ALI	3992
MARIUS	3977
HELGE	3971
MOHAMMAD	3955
VILLY	3954
VIKTOR	3839
KENT	3766
AUGUST	3730
HOLGER	3718
MAX	3657
VALDEMAR	3620
OSKAR	3494
ESBEN	3476
SILAS	3396
JIMMY	3376
NICOLAJ	3305
LEO	3281
VIGGO	3262
VERNER	3242
TONNY	3181
KEVIN	3154
ALBERT	3150
NIKLAS	3136
HENRY	3045
SUNE	3005
ALFRED	3001
THOR	2921
FREDE	2891
SVEN	2886
UFFE	2879
OTTO	2860
PAUL	2803
MARC	2796
TIM	2779
BJARKE	2717
LAURITS	2645
KAI	2639
ASBJØRN	2563
EBBE	2562
CHRISTOPHER	2561
MARKUS	2546
JULIUS	2545
JON	2541
MALTE	2495
VILLADS	2485
NICK	2472
BERTRAM	2397
JES	2390
ERNST	2380
FREDDY	2364
JOACHIM	2325
BIRGER	2316
NILS	2300
AXEL	2277
JIMMI	2266
MOHAMED	2162
ORLA	2152
CHRIS	2148
BRUNO	2113
AHMAD	2110
THEIS	2106
HARRY	2098
STEN	2070
JACK	2058
FELIX	2042
HJALTE	2003
BASTIAN	1996
EJVIND	1952
PHILLIP	1938
SIGURD	1911
THORKILD	1897
NIKOLAI	1892
RONNI	1885
DANNY	1878
JANNIK	1873
MARCO	1861
RICHARD	1770
NICLAS	1715
MUSTAFA	1714
HUGO	1698
WILLY	1648
MOHAMMED	1626
EIGIL	1622
SAMUEL	1622
AHMED	1593
TRISTAN	1588
ROLF	1551
LOUIS	1550
LIAM	1536
PEER	1534
SANDER	1529
LEON	1518
JIM	1509
FILIP	1504
IBRAHIM	1493
JOAKIM	1488
ANKER	1452
ASKE	1450
LENNART	1448
GEORG	1444
HARALD	1436
NICHOLAS	1423
STORM	1388
THEODOR	1382
EJNER	1375
JANNICK	1369
SOFUS	1362
MEHMET	1355
ANDRÉ	1351
NICOLAS	1347
PAW	1333
DANNI	1324
ARTHUR	1319
EJNAR	1305
JANUS	1304
KEN	1304
KENN	1302
ADRIAN	1281
HEINE	1277
MUHAMMAD	1245
SYLVESTER	1244
MATIAS	1237
GLENN	1223
FRODE	1215
MOHAMAD	1214
GUNNER	1191
HASSAN	1172
FRITS	1163
GABRIEL	1162
JESS	1153
RONNIE	1151
BENDT	1145
NICHLAS	1143
LAUGE	1135
TORSTEN	1126
STEVEN	1123
NICKI	1118
PELLE	1108
THORBJØRN	1104
HARDY	1099
LUDVIG	1098
ROBIN	1084
POVL	1083
TOMAS	1071
TOKE	1044
TONY	1028
OMAR	1027
ABDUL	994
KENNY	984
LAU	984
RUBEN	974
TUE	974
POUL-ERIK	962
TEDDY	954
TONNI	943
SONNY	939
GORM	927
JULIAN	918
STEPHAN	912
STEFFAN	911
ALAN	899
BERTIL	885
JAMES	884
KRESTEN	884
LINUS	869
JONATAN	864
CLAES	857
KÅRE	857
LUCA	857
KALLE	853
ULRICH	853
KENNET	846
LAURIDS	836
ALF	827
CARLO	815
MALIK	813
EVALD	809
JOHNNI	803
CHARLIE	802
IAN	802
EJGIL	800
NIS	800
LAUST	794
MAHMOUD	790
OLAV	786
KRISTEN	781
MAGNE	779
HANS-HENRIK	778
MATTHIAS	775
ALEKSANDER	766
CHRISTEN	764
HASAN	762
ELLIOT	756
HERLUF	754
VITUS	753
VAN	749
KENNI	747
YUSUF	745
AHMET	743
KAARE	741
MUHAMMED	738
OLUF	727
KIAN	725
ULF	725
ISAK	713
MICHAL	712
JEAN	710
AMIR	708
SEAN	706
HUSSEIN	694
TOMASZ	687
KONRAD	684
HEINRICH	678
ERLAND	672
OLAF	671
PIOTR	668
WERNER	657
CHARLES	656
ERIC	653
SAMI	649
OSMAN	642
KRZYSZTOF	636
STEPHEN	635
MICK	624
MICHEL	622
FRITZ	621
LAURITZ	614
DENIS	613
ISMAIL	613
ANDREW	612
RONNY	607
THEO	606
ESKILD	604
VINCENT	603
INGOLF	602
BILAL	593
MARCIN	575
TORE	570
ADNAN	569
GREGERS	569
ANDY	567
ABDULLAH	566
MATTI	564
VILHELM	563
RALF	550
BIRK	543
SAMIR	542
HASSE	536
PAWEL	536
RYAN	529
IVAR	524
JOSEF	524
VILLUM	519
KLAVS	518
HAMZA	517
ANDRE	509
DENIZ	506
WALTHER	506
JAMIE	505
RUDI	505
HEINO	501
MATTIAS	498
ELO	485
ANDRZEJ	480
FRANS	479
KHALED	479
JEFF	478
MURAT	478
NICKY	478
YASIN	477
JOSEPH	476
MICKEY	476
SVEND-ERIK	476
RONALD	475
PIERRE	474
ROLAND	474
LUKASZ	471
JASON	469
CONRAD	468
JOSHUA	468
HANS-JØRGEN	466
ANAS	463
KASPAR	463
DITLEV	460
ASMUS	458
CASPAR	457
FREJ	456
MARCEL	456
SAID	455
KRIS	452
LOUIE	450
JONNY	447
MAREK	447
TOR	447
TINO	446
HERMAN	444
GRZEGORZ	439
IVER	438
RICO	436
GERHARD	434
BUSTER	428
HELMER	426
GEORGE	424
LUIS	423
DION	416
FOLMER	414
EINAR	412
RICKY	407
EDVARD	401
ELI	401
MIKAIL	401
KELL	399
BERNT	397
KHALID	396
MILO	396
XANDER	396
LOKE	394
WALTER	394
MILAN	393
HALFDAN	392
JUAN	391
ROMAN	390
THORVALD	389
MILAS	388
THORSTEN	388
CARLOS	385
FREDRIK	385
JOSE	385
HECTOR	384
AMIN	383
GEERT	383
ANTHONY	381
BORIS	381
KARLO	380
THORKIL	380
MARIUSZ	377
UWE	377
JARL	375
EJLER	374
JAMAL	374
MATTHEW	374
YOUSSEF	374
EDDIE	373
RAMAZAN	372
ANTONIO	371
ASK	371
CORNELIUS	371
FREDDIE	371
PATRIK	370
LOUI	369
OLEKSANDR	366
NIELS-ERIK	365
BERTEL	364
LINDY	364
LUKA	361
CHRESTEN	357
ARTUR	353
ENES	353
SYED	352
ADEM	351
JAKUB	350
TEIS	350
YOUSEF	349
BILL	346
HELMUTH	346
JASPER	345
ARVID	343
EVAN	342
JACKIE	341
ABDI	339
MARIO	339
FRANZ	337
SOPHUS	337
BERNHARD	336
EMIR	336
HAMID	333
SAM	333
HANS-CHRISTIAN	330
DARIUSZ	329
JUSTIN	328
CURT	327
KAY	326
MARINUS	326
TORKILD	324
DANNIE	323
BENGT	322
NOA	322
ANDREI	320
RAFAL	320
CARL-EMIL	319
NIKOLAS	319
YUNUS	319
HANNIBAL	318
HENRI	318
JOEL	317
MIK	317
HÜSEYIN	316
JANN	316
KENAN	316
ALVIN	315
LEJF	315
THUE	315
BOYE	314
WILHELM	314
HEINZ	312
RICKI	312
WALID	311
RICHARDT	309
KARIM	308
HALIL	307
ÖMER	307
HAKAN	306
NICO	305
FIND	302
IGOR	302
KAMIL	302
RENE'	302
EMRE	300
GERNER	300
JENS-ERIK	300
KNUD-ERIK	299
ABBAS	298
MACIEJ	298
MICKI	298
HANS-ERIK	297
RUDOLF	295
VALENTIN	294
ANTHON	292
EDWARD	292
WOJCIECH	289
FABIAN	288
NICHOLAI	287
DAMIAN	285
DEAN	285
THYGE	285
FRANDS	284
NIELS-JØRGEN	284
JOHANN	283
VAGNER	279
ELMER	276
ALEKSANDAR	275
GLEN	275
ZANDER	275
ESKIL	274
BENNO	273
ESKE	273
JACEK	273
TOMMI	273
ABDIRAHMAN	272
RALPH	272
PAULI	271
FATIH	268
HERBERT	266
ARNOLD	264
VILLIAM	264
MARVIN	263
ROAR	263
KEMAL	262
MADS-EMIL	262
MIGUEL	262
ZACHARIAS	262
TONI	258
ISAAC	255
LUI	255
ALEXANDRU	253
JAROSLAW	253
WALDEMAR	252
HACI	248
JÜRGEN	248
SEYED	248
AGNER	247
CRISTIAN	247
JOHNY	247
REGNAR	247
JOHNNIE	246
MARKO	246
YOUNES	246
JOE	245
ARON	244
JENS-CHRISTIAN	244
JIMMIE	244
BOGDAN	242
NIELS-HENRIK	241
ABDULLAHI	240
WOLFGANG	238
MATEUSZ	237
MAHDI	236
ZAKARIA	236
NIKI	235
RAMI	235
VILFRED	235
ADEL	233
MARCK	233
NICKOLAJ	233
SCOTT	233
ÅGE	233
EIVIND	232
HARIS	232
INGVARD	232
ISMET	231
NICKOLAI	231
MIKAS	230
MUSA	230
ROALD	227
OMER	226
SLAWOMIR	226
MANFRED	225
MIKI	225
FRANTZ	224
METIN	224
BØJE	223
KHALIL	223
EDIN	222
TERKEL	222
ZBIGNIEW	222
ARLY	221
MANUEL	221
MIHAI	221
THANH	219
ZAKARIAS	219
RENÈ	218
NOR	216
ORHAN	216
CONSTANTIN	215
FIN	215
HADI	215
NABIL	215
OSVALD	215
RAYMOND	213
MAXIMILIAN	212
EDVIN	211
EMMANUEL	211
HARTVIG	211
BALDER	210
HUBERT	210
IMRAN	210
NOAM	210
SINAN	210
HERMANN	209
SIGFRED	209
TORBJØRN	209
TORKIL	209
ARNO	208
VLADIMIR	208
HJALMAR	207
KUNO	207
TIMOTHY	207
EMANUEL	205
MICAS	204
LEANDER	203
MEHDI	203
REZA	203
ESPEN	202
KARL-EMIL	202
MARIAN	202
NIKKI	202
SONNI	202
DAWID	201
FRANTS	201
ROY	201
SVEN-ERIK	201
ARMIN	200
BAYRAM	200
EMIN	200
JACQUES	200
KAMAL	200
GÜNTHER	199
KJELL	199
ROGER	199
ASKER	198
ROBERTO	197
SVEND-AAGE	196
TJALFE	195
ABDALLAH	194
JERRY	194
MUHAMED	194
PRZEMYSLAW	194
BERND	193
GUDMUND	193
HUSSAIN	193
JEFFREY	193
TAIS	192
BENNI	191
