Efternavne pr. 1. januar 2014

Navn	ANTAL

JENSEN	261432
NIELSEN	261065
HANSEN	218580
PEDERSEN	164629
ANDERSEN	160254
CHRISTENSEN	120244
LARSEN	117007
SØRENSEN	112120
RASMUSSEN	95400
JØRGENSEN	89084
PETERSEN	80232
MADSEN	64701
KRISTENSEN	60938
OLSEN	48624
THOMSEN	39384
CHRISTIANSEN	37230
POULSEN	32289
JOHANSEN	31343
MØLLER	30215
MORTENSEN	29516
KNUDSEN	29510
JAKOBSEN	28271
JACOBSEN	24517
MIKKELSEN	22809
OLESEN	22705
FREDERIKSEN	20336
LAURSEN	18381
HENRIKSEN	17537
LUND	17226
SCHMIDT	15820
HOLM	15813
ERIKSEN	14970
KRISTIANSEN	13949
SIMONSEN	13194
000	13159
CLAUSEN	13041
SVENDSEN	11740
ANDREASEN	11724
IVERSEN	10625
ØSTERGAARD	10375
JEPPESEN	9916
VESTERGAARD	9373
NISSEN	9253
LAURIDSEN	9212
KJÆR	9064
JESPERSEN	8972
MOGENSEN	8915
NØRGAARD	8758
JEPSEN	8613
FRANDSEN	8551
SØNDERGAARD	7981
DAHL	7853
SKOV	7610
JESSEN	7602
CARLSEN	7025
BERTELSEN	6906
BRUUN	6536
CHRISTOFFERSEN	6382
BACH	6308
LASSEN	6065
GREGERSEN	5868
FRIIS	5862
WINTHER	5370
KROGH	5208
JOHNSEN	5166
BECH	5114
KJELDSEN	5067
STEFFENSEN	4887
TOFT	4744
RAVN	4692
LAURITSEN	4687
DANIELSEN	4686
ANDRESEN	4476
BRANDT	4469
LIND	4325
HOLST	4317
MATHIESEN	4260
DAM	4251
BERG	4163
OVERGAARD	4119
NYGAARD	4037
BAK	4010
DAMGAARD	3887
ALI	3863
SCHOU	3853
NGUYEN	3826
BJERREGAARD	3791
SØGAARD	3751
SCHULTZ	3745
HEDEGAARD	3741
BANG	3709
NILSSON	3709
MATHIASEN	3704
THORSEN	3683
KRUSE	3651
KLAUSEN	3601
THYGESEN	3580
JUHL	3566
KRISTOFFERSEN	3560
KOCH	3516
JUUL	3495
HERMANSEN	3467
KJÆRGAARD	3442
HALD	3436
PAULSEN	3427
VILLADSEN	3388
LORENZEN	3385
KARLSEN	3381
RIIS	3290
MUNK	3285
LORENTZEN	3216
AAGAARD	3194
BUNDGAARD	3172
BECK	3096
LANGE	3085
DAVIDSEN	3045
LAURITZEN	3038
BONDE	2990
JUSTESEN	2927
MEYER	2912
HJORTH	2904
SOMMER	2897
BENDTSEN	2893
FISCHER	2883
SVENSSON	2862
JOHANNSEN	2848
DALSGAARD	2796
BJERRE	2793
VINTHER	2788
KOFOED	2755
GADE	2737
AHMED	2736
IBSEN	2673
CARSTENSEN	2650
KIRKEGAARD	2631
ANDERSSON	2627
ESKILDSEN	2617
JOHANNESEN	2559
SCHRØDER	2541
ENEVOLDSEN	2523
HOUGAARD	2520
HEMMINGSEN	2434
KRAGH	2413
PERSSON	2399
THØGERSEN	2387
ANDREASSEN	2383
MICHELSEN	2377
ASMUSSEN	2376
BERTHELSEN	2376
HOFFMANN	2363
THOMASSEN	2305
MØLGAARD	2248
DALGAARD	2235
FROST	2214
HENNINGSEN	2214
MARKUSSEN	2190
LAUSTSEN	2188
JOHANSSON	2179
BUCH	2142
MÜLLER	2130
KROG	2110
LETH	2092
JØNSSON	2088
OLSSON	2087
NIKOLAJSEN	2075
BRODERSEN	2071
BISGAARD	2066
SLOTH	2041
GRAVERSEN	1995
MUNCH	1992
CLEMMENSEN	1968
MARCUSSEN	1956
LAUGESEN	1927
FISKER	1925
LINDBERG	1924
IPSEN	1922
STORM	1889
EBBESEN	1870
HASSAN	1868
DUE	1867
THERKILDSEN	1863
KJÆRSGAARD	1859
THORUP	1843
LUDVIGSEN	1841
ALBERTSEN	1827
KHAN	1818
WESTERGAARD	1817
MICHAELSEN	1799
OTTOSEN	1799
SKOVGAARD	1794
SVENNINGSEN	1791
WAGNER	1785
KORSGAARD	1778
GREVE	1769
NEDERGAARD	1761
BENDIXEN	1755
MOHAMED	1752
BJERG	1735
BORUP	1734
OTTESEN	1734
BUHL	1726
AXELSEN	1721
HAUGAARD	1708
SMITH	1703
THUESEN	1693
HØJ	1692
VILHELMSEN	1684
RASK	1683
BENTSEN	1679
MATTHIESEN	1673
AHMAD	1642
KOFOD	1638
DAMSGAARD	1628
BAY	1627
ALBRECHTSEN	1617
RAHBEK	1613
JOHANNESSEN	1610
ERICHSEN	1606
GRAM	1606
POVLSEN	1598
NICOLAISEN	1594
BENTZEN	1587
FRANK	1584
FUGLSANG	1573
BRUHN	1566
VILLUMSEN	1565
HAMMER	1560
MOURITSEN	1556
DINESEN	1553
THRANE	1547
BOESEN	1543
KIRK	1537
WULFF	1531
HØGH	1527
DAUGAARD	1514
THOMASEN	1513
OVESEN	1504
MAGNUSSEN	1503
ROHDE	1503
GRAVESEN	1501
FABRICIUS	1490
PIHL	1484
HUSSAIN	1483
HARTMANN	1481
TORP	1480
SONNE	1476
BIRCH	1472
SAND	1472
BÆK	1471
ISAKSEN	1467
STORGAARD	1456
PALLESEN	1455
CHRISTOPHERSEN	1446
BRIX	1426
LYKKE	1425
TRAN	1409
HØYER	1399
BOYSEN	1397
BJØRN	1388
ABRAHAMSEN	1384
HJORT	1382
LADEFOGED	1381
ABILDGAARD	1380
CALLESEN	1378
ESPERSEN	1374
ELKJÆR	1359
BLOCH	1356
HVIID	1342
LARSSON	1342
STEEN	1342
DALL	1341
MØRCH	1341
HØJGAARD	1336
SKAARUP	1336
ANTONSEN	1324
BIRK	1323
BORG	1308
BUSK	1305
KVIST	1289
BRINK	1284
SKOU	1284
BRØNDUM	1280
MELDGAARD	1274
DEGN	1265
SVANE	1259
DUUS	1252
SMIDT	1246
PHILIPSEN	1243
MØRK	1241
RØMER	1232
LYNGE	1223
DITLEVSEN	1222
HOLMGAARD	1217
KARLSSON	1213
STOKHOLM	1206
DAMM	1204
VESTER	1204
TRUELSEN	1203
KLITGAARD	1202
TROELSEN	1202
HVID	1200
NØRREGAARD	1198
MARTINSEN	1196
PILGAARD	1194
JOENSEN	1187
ROSENBERG	1171
CASPERSEN	1170
BALLE	1165
THERKELSEN	1164
FALK	1154
GRØN	1154
SKYTTE	1153
ADAMSEN	1150
JANSEN	1143
GAMMELGAARD	1134
SKRIVER	1131
GREEN	1125
BROGAARD	1116
WIND	1111
HAUGE	1104
FOGH	1092
KRONBORG	1091
HUSSEIN	1085
LEHMANN	1080
LE	1078
BAGGER	1076
VANG	1073
HAAGENSEN	1072
KRARUP	1072
ODGAARD	1072
WILLUMSEN	1071
LUNDBERG	1068
SANDBERG	1059
LUNDSGAARD	1058
STRØM	1046
ASTRUP	1045
VOSS	1044
WÜRTZ	1040
BAGER	1034
DREJER	1032
NØRSKOV	1032
WEBER	1030
BØDKER	1028
WOLFF	1027
YILMAZ	1027
SEVERINSEN	1025
GROTH	1021
IBRAHIM	1020
QVIST	1020
KROGSGAARD	1019
BOISEN	1017
JÆGER	1015
KRAMER	1009
BENGTSSON	1005
KELLER	1004
